"","year_month","Count"
"1",1990-01-01,49
"2",1990-02-01,26
"3",1990-03-01,60
"4",1990-04-01,37
"5",1990-05-01,38
"6",1990-06-01,43
"7",1990-07-01,47
"8",1990-08-01,39
"9",1990-09-01,31
"10",1990-10-01,29
"11",1990-11-01,58
"12",1990-12-01,41
"13",1991-01-01,44
"14",1991-02-01,47
"15",1991-03-01,43
"16",1991-04-01,46
"17",1991-05-01,52
"18",1991-06-01,44
"19",1991-07-01,47
"20",1991-08-01,42
"21",1991-09-01,33
"22",1991-10-01,51
"23",1991-11-01,40
"24",1991-12-01,33
"25",1992-01-01,44
"26",1992-02-01,33
"27",1992-03-01,40
"28",1992-04-01,33
"29",1992-05-01,36
"30",1992-06-01,49
"31",1992-07-01,34
"32",1992-08-01,35
"33",1992-09-01,50
"34",1992-10-01,62
"35",1992-11-01,46
"36",1992-12-01,31
"37",1993-01-01,34
"38",1993-02-01,53
"39",1993-03-01,52
"40",1993-04-01,51
"41",1993-05-01,70
"42",1993-06-01,36
"43",1993-07-01,55
"44",1993-08-01,50
"45",1993-09-01,51
"46",1993-10-01,42
"47",1993-11-01,47
"48",1993-12-01,46
"49",1994-01-01,43
"50",1994-02-01,37
"51",1994-03-01,48
"52",1994-04-01,39
"53",1994-05-01,34
"54",1994-06-01,28
"55",1994-07-01,47
"56",1994-08-01,46
"57",1994-09-01,48
"58",1994-10-01,43
"59",1994-11-01,52
"60",1994-12-01,43
"61",1995-01-01,55
"62",1995-02-01,39
"63",1995-03-01,53
"64",1995-04-01,58
"65",1995-05-01,50
"66",1995-06-01,45
"67",1995-07-01,51
"68",1995-08-01,49
"69",1995-09-01,46
"70",1995-10-01,87
"71",1995-11-01,58
"72",1995-12-01,54
"73",1996-01-01,47
"74",1996-02-01,48
"75",1996-03-01,114
"76",1996-04-01,59
"77",1996-05-01,61
"78",1996-06-01,313
"79",1996-07-01,92
"80",1996-08-01,67
"81",1996-09-01,38
"82",1996-10-01,55
"83",1996-11-01,36
"84",1996-12-01,80
"85",1997-01-01,44
"86",1997-02-01,52
"87",1997-03-01,80
"88",1997-04-01,63
"89",1997-05-01,68
"90",1997-06-01,49
"91",1997-07-01,65
"92",1997-08-01,59
"93",1997-09-01,63
"94",1997-10-01,45
"95",1997-11-01,58
"96",1997-12-01,67
"97",1998-01-01,74
"98",1998-02-01,58
"99",1998-03-01,51
"100",1998-04-01,57
"101",1998-05-01,101
"102",1998-06-01,53
"103",1998-07-01,51
"104",1998-08-01,100
"105",1998-09-01,56
"106",1998-10-01,57
"107",1998-11-01,71
"108",1998-12-01,43
"109",1999-01-01,52
"110",1999-02-01,56
"111",1999-03-01,59
"112",1999-04-01,52
"113",1999-05-01,73
"114",1999-06-01,52
"115",1999-07-01,34
"116",1999-08-01,62
"117",1999-09-01,36
"118",1999-10-01,35
"119",1999-11-01,34
"120",1999-12-01,76
"121",2000-01-01,56
"122",2000-02-01,61
"123",2000-03-01,40
"124",2000-04-01,39
"125",2000-05-01,49
"126",2000-06-01,38
"127",2000-07-01,69
"128",2000-08-01,55
"129",2000-09-01,47
"130",2000-10-01,34
"131",2000-11-01,52
"132",2000-12-01,54
"133",2001-01-01,47
"134",2001-02-01,49
"135",2001-03-01,55
"136",2001-04-01,58
"137",2001-05-01,48
"138",2001-06-01,82
"139",2001-07-01,43
"140",2001-08-01,57
"141",2001-09-01,54
"142",2001-10-01,55
"143",2001-11-01,36
"144",2001-12-01,56
"145",2002-01-01,45
"146",2002-02-01,52
"147",2002-03-01,87
"148",2002-04-01,61
"149",2002-05-01,49
"150",2002-06-01,90
"151",2002-07-01,66
